id,u,g,r,i,z,run,rerun,camcol,field
5318,18.16688,16.8839,16.36773,16.08342,16.02723,2391,301,2,143
5319,17.09077,15.75352,15.08635,14.71979,14.43309,2125,301,6,274
5320,19.52871,17.5027,16.5652,16.165,15.83248,752,301,1,410
5321,19.08056,17.54915,16.97553,16.7722,16.69024,2964,301,1,61
5322,17.1102,15.79081,15.23679,15.01612,14.89885,2137,301,1,284
5323,18.26555,17.18155,16.73046,16.55253,16.47196,2662,301,1,114
5324,15.86977,15.97801,16.51925,16.85488,17.17524,3918,301,4,225
5325,18.39227,17.60262,17.46171,17.39754,17.29062,1458,301,5,627
5326,19.38963,19.09101,19.04105,19.18915,18.98153,3964,301,6,127
5327,18.43228,17.32803,16.88291,16.70713,16.63763,2125,301,3,299
5328,19.16273,17.5851,16.94737,16.69624,16.69837,5416,301,5,165
5329,17.06538,15.92515,15.58273,15.45769,15.44057,6573,301,3,179
5330,18.71117,18.4641,18.39077,18.18594,18.19919,2391,301,1,189
5331,18.77979,16.83623,15.95108,15.53397,15.22108,6573,301,1,198
5332,19.59057,18.10075,17.30584,16.83688,16.53092,5326,301,4,121
5333,19.02896,17.94231,17.5547,17.33586,17.25349,6004,301,5,141
5334,16.7682,15.08575,14.29091,13.83141,13.43251,2243,301,4,110
5335,18.55309,16.70629,15.78852,15.35195,15.0105,5972,301,3,259
5336,18.81755,16.91639,15.96155,15.44659,15.14414,3704,301,6,177
5337,19.12421,17.76509,16.97196,16.53317,16.25354,1345,301,2,461
5338,18.48297,18.36621,18.22684,18.1734,18.17867,4152,301,4,86
5339,18.8403,17.58997,17.22199,17.07843,17.00084,7699,301,3,76
5340,19.55205,18.00039,17.23213,16.89281,16.60722,4599,301,1,89
5341,18.87578,17.62194,16.95517,16.54647,16.30635,5137,301,6,287
5342,18.75019,17.90667,17.70983,17.65258,17.63645,4646,301,2,81
5343,18.25291,16.92621,16.27203,15.92255,15.68539,4263,301,1,274
5344,16.41385,15.31234,14.97795,14.85556,14.82651,1402,301,5,22
5345,19.03237,17.96983,17.6527,17.49648,17.46344,4188,301,5,63
5346,19.53756,18.05791,17.42386,17.18862,17.02705,3918,301,3,416
5347,18.214,17.41439,17.18913,17.01783,16.93317,4678,301,5,64
5348,19.54037,17.5225,16.63805,16.2221,15.88415,3462,301,4,120
5349,17.75988,16.93754,16.78496,16.54041,16.48076,3388,301,1,575
5350,18.60087,17.93957,17.92986,17.9051,17.6963,7717,301,4,140
5351,16.58845,15.47961,15.00586,14.68543,14.42575,3893,301,2,162
5352,19.06125,17.96935,17.56841,17.39864,17.32118,3206,301,4,49
5353,19.20181,18.11811,17.68469,17.39773,17.18134,3903,301,4,223
5354,19.06326,18.62694,18.39508,18.38664,18.30812,3059,301,5,162
5355,18.91698,18.47373,18.39859,18.04761,17.88884,4335,301,4,108
5356,19.24051,17.90669,17.3099,16.9779,16.75695,2986,301,4,267
5357,18.98953,17.50218,16.9598,16.77001,16.69542,2125,301,4,94
5358,18.83739,17.6482,17.25475,17.05353,16.88993,3560,301,6,154
5359,19.20336,17.91937,17.23922,16.84512,16.59773,3560,301,5,150
5360,18.78345,17.657,17.2889,17.16299,17.12716,5976,301,3,178
5361,18.07244,17.12265,16.85058,16.75236,16.75312,3697,301,6,53
5362,18.12143,16.76318,16.01564,15.62705,15.35521,3893,301,5,364
5363,15.36589,13.96881,13.19374,12.83262,12.78894,4335,301,6,105
5364,18.83664,17.38769,16.82813,16.51641,16.38619,3910,301,4,171
5365,18.62103,18.42007,18.15315,18.10645,18.19404,7761,301,5,90
5366,19.29904,17.46342,16.53956,16.11207,15.75081,6372,301,6,104
5367,16.2151,14.77754,14.04787,13.62578,13.31925,3630,301,4,218
5368,18.97076,17.43161,16.82691,16.60313,16.48704,3059,301,5,69
5369,19.31186,18.82793,18.71706,18.72751,18.6857,7708,301,3,178
5370,19.21236,18.22568,17.71149,17.3888,17.21334,3893,301,4,136
5371,17.60986,15.80212,15.0681,14.80082,14.65901,6585,301,3,122
5372,19.43328,17.32761,16.20647,15.75723,15.38522,3971,301,3,121
5373,19.538,18.21413,17.33791,16.8676,16.53687,2964,301,4,57
5374,18.13334,16.66114,16.30356,16.12053,16.06273,4469,301,3,379
5375,18.85618,17.89178,17.47171,17.15924,17.07573,3996,301,1,126
5376,17.70447,16.79373,16.51457,16.39336,16.40304,3716,301,1,97
5377,19.22258,18.0631,17.56631,17.24987,17.10817,4010,301,3,52
5378,19.13417,17.59626,16.94016,16.61276,16.45584,4134,301,1,125
5379,18.3364,16.78858,16.22712,16.01269,15.93592,3530,301,6,139
5380,19.47836,19.37175,19.16693,19.14266,19.16874,4633,301,4,78
5381,18.72523,17.71993,17.39935,17.27678,17.23995,2126,301,4,292
5382,17.7653,18.09726,18.60043,18.97618,19.21959,4829,301,1,35
5383,17.87801,16.67063,16.06393,15.71274,15.50109,2830,301,1,343
5384,18.3039,17.25801,16.88463,16.73379,16.65062,4152,301,2,107
5385,19.33859,18.17183,17.70604,17.44308,17.34378,1140,301,5,266
5386,19.5441,18.37302,17.65287,17.29695,17.0779,3704,301,3,92
5387,19.31751,17.79359,16.90498,16.42701,16.17589,4576,301,3,698
5388,19.40616,18.38207,18.02103,17.85992,17.77757,5636,301,4,61
5389,18.68343,16.89405,16.02707,15.61252,15.27449,4674,301,3,256
5390,18.62824,17.64765,17.35457,17.23417,17.26035,8108,301,1,188
5391,19.29871,19.1003,19.14605,18.98929,19.03422,5194,301,4,543
5392,19.3018,18.44707,18.12933,18.01291,17.97036,2826,301,4,279
5393,17.7765,16.42875,15.79859,15.41183,15.13016,5237,301,4,113
5394,18.64959,18.46266,18.2726,18.26273,18.22733,756,301,5,231
5395,17.99438,16.39757,15.73176,15.43119,15.28938,3600,301,1,25
5396,17.31945,16.17276,15.752,15.50196,15.43111,4678,301,6,259
5397,19.57967,17.96104,17.19345,16.74045,16.47331,4294,301,6,64
5398,18.3989,16.62751,15.80185,15.41876,15.10416,3187,301,1,41
5399,17.60877,15.83212,14.939,14.4523,14.01725,5326,301,2,79
5400,18.88028,17.83848,17.41787,17.08228,16.94005,5972,301,2,69
5401,19.08342,19.17955,19.61636,19.89611,20.29655,1140,301,1,32
5402,19.39743,17.49196,16.68782,16.4041,16.24206,2507,301,5,264
5403,18.80016,17.84735,17.56468,17.45019,17.41782,3705,301,6,400
5404,18.17162,16.22184,15.25953,14.7654,14.37959,5323,301,5,29
5405,18.97407,17.55403,16.9922,16.76892,16.65583,3903,301,2,319
5406,18.81825,18.61548,18.52824,18.42212,18.24134,4382,301,2,120
5407,17.64681,16.4806,16.07859,15.92358,15.86965,3894,301,4,274
5408,18.43978,17.53956,17.25797,17.0564,17.00624,5330,301,6,83
5409,19.1924,18.0688,17.42845,17.04342,16.83731,3015,301,6,163
5410,18.96774,17.25071,16.53487,16.13669,15.85157,2247,301,2,218
5411,19.20915,18.55392,18.28863,17.84676,17.70702,5972,301,6,161
5412,19.02724,17.75799,17.14521,16.81627,16.52828,4849,301,5,840
5413,19.41455,18.17838,17.72412,17.54519,17.4283,2864,301,5,78
5414,11.96091,12.37476,12.29743,13.59399,12.56588,756,301,4,401
5415,18.25416,17.33028,16.7643,16.38852,16.17583,4576,301,4,658
5416,19.29946,17.37339,16.49065,16.10647,15.77516,1345,301,2,529
5417,17.69669,16.73639,16.44255,16.31428,16.28113,2335,301,1,125
5418,18.88339,17.86878,17.45728,17.29058,17.23527,4134,301,1,65
5419,19.3251,19.11076,18.99677,18.6598,18.57426,5061,301,4,331
5420,18.40147,16.66921,15.99268,15.5855,15.34159,2243,301,1,400
5421,19.10059,17.55623,16.72746,16.25784,15.89969,7713,301,1,427
5422,17.56148,15.71977,14.89556,14.5104,14.19833,3187,301,4,129
5423,19.26267,18.98194,18.73639,18.68203,18.68086,1729,301,1,452
5424,19.35515,17.30445,16.29588,15.85702,15.51221,2986,301,4,45
5425,18.87893,17.65955,17.33928,17.20484,17.14416,8101,301,4,72
5426,18.25299,16.95979,16.4729,16.29368,16.27022,1350,301,4,330
5427,17.77155,16.3114,15.74568,15.54923,15.46532,5060,301,3,140
5428,18.25582,17.20929,17.02027,16.85506,16.79571,4674,301,3,129
5429,19.57696,18.33583,17.66581,17.2661,17.0213,2830,301,4,154
5430,17.36871,16.05643,15.52864,15.35464,15.31365,2243,301,4,365
5431,19.32855,19.37465,18.98112,19.05202,19.14177,5183,301,6,248
5432,18.2967,17.19827,16.61166,16.24103,16.04571,3712,301,6,134
5433,18.77628,18.59867,18.24474,17.85097,17.79006,3015,301,3,286
5434,19.29108,17.35132,16.2499,15.7453,15.31196,8101,301,5,91
5435,18.74914,17.2729,16.65542,16.35814,16.18451,6162,301,3,414
5436,18.58801,17.44201,16.93861,16.57728,16.42188,4678,301,3,175
5437,19.19337,17.50802,16.88093,16.66804,16.57305,6161,301,3,63
5438,19.34187,17.98576,17.2298,16.85591,16.59041,5314,301,5,37
5439,19.38824,18.91857,18.80183,18.8088,18.93482,2125,301,4,171
5440,18.8658,17.48145,16.79255,16.35051,16.06515,3926,301,2,41
5441,19.24222,17.25388,16.43403,16.01109,15.74286,1458,301,4,706
5442,19.59114,19.47619,19.163,19.06376,19.27968,4843,301,4,85
5443,18.15848,16.42768,15.55803,15.03191,14.68907,4188,301,6,17
5444,19.57832,18.35956,17.64266,17.20267,16.94506,5194,301,4,617
5445,18.12231,16.26989,15.47387,15.08133,14.79605,5313,301,5,96
5446,19.53238,17.86105,16.88943,16.41706,16.07806,3996,301,5,150
5447,19.28003,17.40613,16.47578,16.03671,15.68454,4512,301,3,189
5448,19.39411,17.90057,17.34688,17.1104,16.99979,1035,301,1,135
5449,18.81034,17.91101,17.70854,17.66936,17.65815,7717,301,4,442
5450,19.03442,18.03446,17.63558,17.4803,17.40388,1302,301,4,335
5451,18.33089,16.88623,16.40988,16.16146,16.02076,4294,301,3,78
5452,18.82145,17.65769,17.0912,16.74349,16.57409,5935,301,3,204
5453,19.50012,18.29218,17.87371,17.58875,17.51712,3704,301,5,163
5454,18.22204,17.29157,16.96747,16.64528,16.56254,3705,301,2,331
5455,19.16838,17.17809,16.06491,15.65284,15.31592,3704,301,3,162
5456,18.93957,18.67439,18.66518,18.42449,18.52545,2986,301,2,124
5457,19.49425,18.27969,17.70116,17.35963,17.14456,3705,301,1,78
5458,19.23595,18.19482,17.55695,17.16759,17.00478,2986,301,2,162
5459,18.62994,17.82933,17.27681,16.90401,16.65761,4670,301,2,174
5460,19.3895,17.54544,16.64852,16.27889,15.91859,3031,301,3,184
5461,18.79073,17.75318,17.44608,17.26786,17.16539,4570,301,3,56
5462,18.35689,17.2069,16.8667,16.75134,16.69394,2986,301,5,31
5463,19.1566,17.16022,16.08217,15.63843,15.24542,4010,301,3,132
5464,17.5503,15.49198,14.48992,13.96454,13.50053,1231,301,1,55
5465,19.25228,17.34267,16.42358,15.91658,15.53775,752,301,3,635
5466,17.53745,16.21613,15.573,15.27073,15.02253,5115,301,3,139
5467,19.43668,17.57163,16.59411,16.14881,15.80262,3606,301,6,174
5468,18.66071,17.67854,17.34952,17.16838,17.05376,5183,301,1,583
5469,18.55632,17.02899,16.28631,15.88347,15.561,2334,301,3,105
5470,17.49007,15.89246,15.15123,14.73218,14.42626,3927,301,2,68
5471,17.16153,16.10966,15.85983,15.78311,15.78656,1331,301,5,45
5472,18.23402,17.08031,16.65873,16.4289,16.29713,3894,301,2,117
5473,19.03844,17.00745,16.07933,15.67664,15.39659,6585,301,2,90
5474,14.50678,12.67902,11.74664,11.29956,10.91847,3841,301,4,130
5475,19.1054,17.77131,17.05235,16.63408,16.3521,1737,301,6,35
5476,19.32188,18.55632,18.31342,18.11306,17.99606,2826,301,2,270
5477,18.40352,17.37842,17.05231,16.90755,16.82809,5817,301,5,115
5478,17.59818,15.59553,14.68613,14.28392,13.94892,2883,301,4,181
5479,19.40419,18.02914,17.32626,16.90698,16.65322,2074,301,3,120
5480,19.26661,17.59976,16.79607,16.3729,16.01044,3900,301,5,206
5481,18.97653,17.74877,17.11782,16.73882,16.54085,2986,301,2,311
5482,19.11636,17.01749,15.79499,15.32807,14.98625,4552,301,5,149
5483,18.65893,17.14798,16.26279,15.81176,15.45445,3225,301,4,281
5484,18.40637,17.09805,16.51687,16.25441,16.13798,6354,301,1,115
5485,19.17717,18.10146,17.60407,17.27286,17.10539,756,301,1,371
5486,18.83808,18.8068,18.99532,19.16043,19.37787,4670,301,1,127
5487,19.35298,18.04432,17.48825,17.30692,17.19101,3893,301,4,247
5488,18.52686,17.07576,16.24348,15.81054,15.4744,7717,301,1,532
5489,19.34441,18.06034,17.46558,17.13533,17.01538,5326,301,3,314
5490,19.25739,19.04352,18.91216,18.7028,18.72905,2964,301,1,463
5491,19.05201,17.19631,16.14658,15.66224,15.24594,3919,301,6,181
5492,19.59307,18.35113,17.30677,16.84222,16.5097,3031,301,3,95
5493,19.24144,18.75879,18.58599,18.62447,18.7009,7880,301,3,100
5494,19.44835,18.17367,17.42497,17.03434,16.62791,4576,301,1,442
5495,18.53497,17.62016,17.28282,17.15178,17.11176,5182,301,3,86
5496,18.11587,17.14403,16.84386,16.71833,16.69591,7708,301,2,175
5497,18.59288,16.99291,16.17922,15.78535,15.46883,1458,301,1,413
5498,18.23066,17.34926,17.05026,16.75718,16.68302,1404,301,6,18
5499,19.02486,18.63281,18.31947,18.00286,18.2317,1462,301,1,602
5500,17.25236,16.27812,15.97641,15.85938,15.85158,1412,301,6,263
5501,19.03322,18.11395,17.79754,17.67341,17.62975,6166,301,5,169
5502,19.17165,17.8646,17.41167,17.13535,17.00292,4674,301,3,120
5503,19.41971,18.94174,18.50978,18.23652,18.14216,5656,301,3,60
5504,17.8601,16.44389,15.81798,15.554,15.39892,3893,301,1,333
5505,17.55144,16.17762,16.02275,16.02575,16.05431,3629,301,1,61
5506,19.4132,18.33116,17.74289,17.37726,17.14636,2247,301,2,155
5507,15.65991,13.97163,13.25765,12.86527,12.61887,5061,301,4,452
5508,19.50427,18.62884,18.31504,18.15858,18.12226,4649,301,5,151
5509,18.41832,16.96404,16.32799,16.10441,15.98296,5655,301,1,158
5510,18.47906,17.264,16.75573,16.4534,16.21522,4512,301,4,87
5511,19.47329,18.44273,18.23564,18.1676,18.17516,2961,301,2,91
5512,18.94878,17.99835,17.72965,17.55287,17.49361,5326,301,4,79
5513,19.53149,17.47378,16.54949,16.09773,15.7509,3926,301,2,118
5514,17.60451,16.68785,16.41188,16.31001,16.30842,2126,301,4,341
5515,18.02974,16.60098,16.03768,15.8479,15.76328,5060,301,4,128
5516,18.45555,17.5546,17.13682,16.95875,16.8872,2074,301,6,135
5517,18.41285,16.52419,15.63422,15.2444,14.94189,3893,301,1,241
5518,19.54955,17.7991,16.83174,16.39082,16.02524,1412,301,4,159
5519,18.84917,17.14898,16.39662,16.02989,15.73852,2826,301,3,305
5520,19.04344,17.14931,16.20252,15.72164,15.35839,5933,301,2,74
5521,19.57077,18.39167,17.68145,17.30372,17.05027,3958,301,6,125
5522,19.34243,18.24958,17.819,17.48991,17.36697,5976,301,4,203
5523,19.29605,17.44005,16.49179,16.07201,15.74962,2243,301,5,388
5524,,,,,,4874,301,3,586
5525,18.89921,17.71817,17.33309,17.19038,17.1542,3631,301,2,253
5526,,,,,,4263,301,6,321
5527,17.78235,16.88722,16.56423,16.4352,16.3757,756,301,6,96
5528,17.80692,16.79622,16.52545,16.38673,16.33072,4570,301,1,309
5529,18.97951,17.91817,17.50662,17.32174,17.2689,3926,301,4,73
5530,18.67204,18.51955,18.33112,18.28495,18.25708,3841,301,1,237
5531,17.86226,17.66924,17.76228,17.95245,18.08459,3650,301,5,96
5532,19.38731,19.38433,19.34925,19.07621,19.04162,6782,301,6,39
5533,18.95263,17.52326,16.66856,16.22311,15.91789,4671,301,5,37
5534,19.40499,19.14697,19.07088,18.77593,18.81645,3926,301,2,47
5535,16.05209,14.76147,14.9094,15.03782,15.10793,3958,301,4,182
5536,18.68834,17.45821,16.82047,16.4297,16.18686,3699,301,6,134
5537,19.25523,18.38314,18.15997,18.0926,18.09686,4649,301,3,146
5538,19.1991,18.18593,17.85744,17.7125,17.7182,4382,301,5,33
5539,19.58915,18.48852,18.39877,18.38987,18.41241,7178,301,3,47
5540,18.48455,16.5465,15.62803,15.20641,14.90078,3664,301,5,59
5541,19.37979,18.20438,17.53739,17.10531,16.8867,2826,301,5,305
5542,18.83806,17.81227,17.44173,17.28954,17.25344,2662,301,1,176
5543,17.17723,15.55205,14.76553,14.34198,14.0322,3225,301,5,333
5544,18.55918,17.65417,17.43058,17.36125,17.33348,7717,301,4,486
5545,19.09583,17.09585,16.0502,15.60071,15.25017,4576,301,1,322
5546,18.73304,18.55312,18.26671,18.13259,17.87892,2711,301,5,65
5547,19.33149,17.4424,16.48273,16.04156,15.70652,5326,301,5,202
5548,18.43888,17.56923,17.21407,17.0887,17.00813,4263,301,1,354
5549,19.05759,19.08101,18.80309,18.86817,19.05702,1462,301,5,620
5550,18.15204,16.29161,15.45263,15.075,14.76511,3893,301,4,148
5551,18.33221,17.35633,17.05348,16.9482,16.93674,3893,301,5,377
5552,19.47091,18.54895,18.3054,18.23666,18.19844,4646,301,6,84
5553,,,,,,3704,301,6,98
5554,18.74011,17.32047,16.75317,16.55725,16.46352,5598,301,2,21
5555,18.64332,17.13814,16.29877,15.86644,15.54903,5972,301,2,138
5556,19.3682,17.90857,17.16034,16.78418,16.49896,1231,301,3,114
5557,19.17635,17.09169,16.16329,15.73194,15.39668,4552,301,6,81
5558,16.96829,15.62296,15.46968,15.42699,15.40313,4134,301,5,87
5559,19.43256,18.24405,17.68627,17.34853,17.14726,1231,301,2,134
5560,17.71762,16.73893,16.34234,16.11839,15.94335,5115,301,2,148
5561,19.44266,17.96331,17.22226,16.88103,16.62467,4512,301,5,147
5562,17.85343,15.92585,15.00745,14.57432,14.25439,3180,301,6,65
5563,19.1893,17.77601,17.18467,16.94928,16.80011,2826,301,4,192
5564,18.51471,16.61369,15.73377,15.30805,15.01113,3704,301,4,66
5565,19.14547,19.05786,18.88823,18.8286,18.96368,2391,301,2,135
5566,19.45403,19.23438,18.75804,18.34995,18.27064,2888,301,1,78
5567,16.75708,15.88809,15.51797,15.37193,15.31699,4671,301,3,106
5568,18.88134,17.58553,17.06629,16.81339,16.57104,4294,301,2,184
5569,18.48751,17.12452,16.49313,16.10394,15.82076,2830,301,5,194
5570,19.47626,17.20146,16.24076,15.89137,15.67534,752,301,1,302
5571,17.29969,15.76032,14.99267,14.57924,14.30277,4623,301,1,292
5572,18.11425,17.87301,18.45534,17.62358,22.82676,4874,301,4,635
5573,18.77433,18.80072,19.1717,19.51334,19.90894,3893,301,4,164
5574,18.34764,17.30454,16.89004,16.63901,16.48087,4576,301,1,650
5575,17.47672,15.92763,15.35504,15.15999,15.0838,4335,301,2,118
5576,17.83589,16.71115,16.4605,16.40186,16.4096,5060,301,2,156
5577,18.93233,18.78224,18.5151,18.43534,18.49475,2986,301,3,241
5578,17.75571,16.21704,15.71831,15.55962,15.52029,4510,301,6,11
5579,19.08117,17.60231,16.81363,16.3816,16.07,1992,301,2,118
5580,19.32414,17.89597,17.30279,17.06944,16.96035,3926,301,6,118
5581,18.6316,17.44332,16.96561,16.61375,16.45301,4674,301,4,47
5582,19.16816,17.91171,17.25582,16.8771,16.64035,5973,301,2,56
5583,18.38112,17.70125,17.1472,16.74084,16.51176,3900,301,4,488
5584,18.79201,17.71587,17.31064,17.09239,16.98464,752,301,1,271
5585,18.9972,17.76598,17.02958,16.67263,16.41069,2074,301,6,167
5586,19.24107,18.04806,17.33839,16.93633,16.68273,3647,301,1,113
5587,19.31662,18.26064,17.74602,17.44565,17.29693,752,301,3,423
5588,19.27636,18.06585,17.53851,17.35875,17.25642,6361,301,4,125
5589,19.13523,17.93644,17.32048,16.97401,16.71669,5115,301,2,157
5590,18.92662,17.6846,17.09759,16.70703,16.49644,5308,301,2,249
5591,19.01341,17.23059,16.32397,15.88676,15.54892,3958,301,4,176
5592,19.13409,17.62848,17.03252,16.65748,16.46015,1896,301,1,132
5593,19.23188,18.83377,18.78793,18.79191,18.88585,7780,301,4,140
5594,19.41518,18.50325,18.14084,17.9757,17.90154,7712,301,5,186
5595,19.53878,17.75224,16.95057,16.51744,16.15615,4674,301,3,48
5596,18.57551,17.24,16.706,16.56248,16.49802,2986,301,1,97
5597,19.19914,19.03919,18.95641,18.92319,18.89964,3841,301,1,110
5598,18.02143,17.92645,18.26729,18.56023,18.86224,2078,301,5,213
5599,18.0055,16.49905,15.94956,15.7451,15.64962,1729,301,6,116
5600,18.63731,17.58212,17.72057,17.88589,18.00991,4335,301,3,81
5601,19.40507,19.27733,19.48739,19.38504,19.38718,4294,301,4,106
5602,17.36507,16.06665,16.11095,16.17858,16.2307,752,301,1,534
5603,,,,,,3225,301,6,272
5604,18.11666,16.14856,15.25593,14.84082,14.53584,2826,301,2,249
5605,18.68744,17.65694,17.82532,17.99309,18.08352,2346,301,6,72
5606,17.36811,15.42554,14.50821,14.03675,13.6933,2379,301,3,122
5607,19.0447,18.07833,17.79348,17.68605,17.67862,3606,301,5,30
5608,18.66769,17.52714,17.04107,16.82345,16.74661,5972,301,1,226
5609,19.55956,19.45713,19.17691,19.05082,19.07612,3894,301,1,177
5610,19.58403,17.83121,16.96678,16.53578,16.2142,5183,301,1,88
5611,19.30729,17.72068,17.08201,16.84751,16.7391,2662,301,1,100
5612,19.3042,19.38075,19.03896,18.94947,18.99321,5972,301,4,90
5613,19.02915,17.78471,17.26592,17.04189,16.93969,4649,301,3,264
5614,19.08243,18.12601,17.7798,17.66127,17.62297,2986,301,1,110
5615,19.37744,18.10599,17.47489,17.08938,16.85777,2190,301,5,249
5616,19.40426,17.39316,16.39626,15.92578,15.53775,3705,301,2,149
5617,18.52111,16.86201,16.02237,15.60639,15.28409,3992,301,2,114
5618,18.86306,17.58272,17.13578,16.87486,16.72055,5326,301,5,183
5619,17.86261,16.65849,16.09729,15.71999,15.56955,5935,301,5,176
5620,19.37425,17.76414,17.10439,16.85696,16.711,745,301,5,565
5621,,,,,,7781,301,1,72
5622,18.09651,17.04974,16.74537,16.47427,16.31649,1462,301,5,304
5623,16.46338,15.28751,14.87965,14.75467,14.71224,5060,301,6,131
5624,19.30583,17.35526,16.29001,15.80464,15.45222,4294,301,1,96
5625,19.44163,18.07477,17.48623,17.27516,17.15242,1045,301,1,85
5626,18.9894,19.05178,18.8063,18.81833,19.01543,3927,301,1,50
5627,17.04349,16.14394,15.83408,15.69995,15.67441,5061,301,1,328
5628,18.64749,17.55871,17.24352,17.13302,17.09967,4135,301,6,155
5629,19.47893,18.10531,17.4919,17.25419,17.12719,5934,301,5,169
5630,18.15706,16.29492,15.37072,14.90993,14.53303,5194,301,2,558
5631,19.38752,18.25726,17.87592,17.71389,17.63902,2328,301,4,134
5632,,,,,,4294,301,3,194
5633,18.86901,17.43983,16.73553,16.30808,16.11719,5182,301,4,96
5634,18.84996,17.42517,16.68345,16.25175,15.96901,1740,301,2,140
5635,17.07344,15.49623,14.91253,14.73076,14.63766,1350,301,3,251
5636,19.55372,17.84312,17.18212,16.86103,16.62731,2243,301,2,227
5637,19.32767,17.82225,17.06524,16.59339,16.34773,3964,301,4,227
5638,19.26403,17.75537,17.09148,16.84176,16.69172,1350,301,3,72
5639,16.35414,15.47791,15.11353,14.96332,14.91543,5308,301,3,25
5640,18.78536,16.88837,16.02071,15.62397,15.28641,3836,301,3,452
5641,18.59155,17.56507,17.02093,16.68974,16.5217,5061,301,2,410
5642,17.71281,16.08009,15.53554,15.36512,15.30996,1350,301,4,32
5643,19.38388,17.57322,16.1754,15.68683,15.40816,4576,301,1,416
5644,16.42028,16.67248,17.17498,17.53129,17.84244,5194,301,2,712
5645,19.18504,17.96625,17.39912,17.0959,16.84937,4674,301,4,244
5646,19.56824,18.22079,17.31819,16.84926,16.53007,4552,301,5,76
5647,17.16516,16.08504,15.75417,15.64357,15.61079,4335,301,3,39
5648,19.51979,18.605,18.24728,18.13394,18.11175,5140,301,6,84
5649,18.99054,17.75874,17.26857,16.9983,16.79638,4678,301,1,285
5650,19.5178,18.15881,17.34175,16.92555,16.6928,3187,301,1,11
5651,19.3754,19.25537,19.12546,18.93352,18.93917,2961,301,2,86
5652,18.83817,16.91757,15.94397,15.46176,15.11189,4829,301,4,33
5653,18.26746,16.22746,15.3811,15.01503,14.80671,1666,301,5,294
5654,18.40406,17.01614,16.32236,15.85431,15.59859,3530,301,2,113
5655,19.59785,17.78665,16.90128,16.50824,16.1867,5933,301,2,27
5656,18.93997,18.07627,17.8092,17.66845,17.68019,2830,301,6,248
5657,19.56662,18.32455,17.78727,17.49627,17.23268,4264,301,5,148
5658,18.45863,17.10754,16.49727,16.15208,15.87702,3560,301,2,221
5659,19.22469,18.04592,17.50892,17.29326,17.18474,3031,301,3,500
5660,18.80479,17.69365,17.23604,16.97228,16.72364,7717,301,1,210
5661,18.89396,18.40787,17.65434,17.18967,16.98231,3705,301,2,130
5662,19.57528,17.54984,16.60967,16.18438,15.83256,5045,301,4,196
5663,19.35052,18.41991,18.10963,17.98159,17.96401,7908,301,2,31
5664,18.35115,18.31926,18.70179,19.02097,19.29392,3605,301,3,113
5665,19.10995,18.08377,17.51893,17.16581,17.01082,1302,301,5,172
5666,18.96465,16.97983,16.0236,15.55716,15.23006,2126,301,1,290
5667,19.50163,18.61404,18.33626,18.22118,18.21112,2243,301,2,278
5668,17.79903,16.85468,16.59179,16.48181,16.46978,4204,301,3,111
5669,18.87846,17.707,17.19133,16.93354,16.76756,6166,301,5,122
5670,17.57875,16.45823,16.12114,16.00212,15.95402,1350,301,3,317
5671,18.98376,17.20629,16.46243,16.15736,15.9798,5973,301,4,26
5672,19.46042,18.61989,18.16355,17.77893,17.69086,3699,301,6,113
5673,18.95989,17.29138,16.37159,15.91204,15.56528,4010,301,5,53
5674,18.09131,16.46006,15.84172,15.62885,15.52079,3225,301,5,263
5675,19.31376,18.34204,18.03571,17.93856,17.89961,4851,301,5,41
5676,18.89064,17.13302,16.25685,15.82905,15.53415,4335,301,6,36
5677,17.47539,15.98595,15.33811,15.05892,14.92939,3903,301,2,317
5678,19.48417,17.87785,17.13259,16.78381,16.59401,2662,301,1,101
5679,19.35792,17.40973,16.3755,15.94065,15.57657,1140,301,4,215
5680,18.00953,16.85533,16.42246,16.10205,15.93634,1740,301,1,135
5681,18.46309,17.08619,16.51918,16.17319,16.23223,2243,301,2,306
5682,18.571,17.39267,17.55261,17.66151,17.78726,4649,301,4,72
5683,17.80339,17.54121,17.44447,17.58187,17.57242,2964,301,6,443
5684,19.35034,18.33465,17.98392,17.86745,17.8127,7845,301,5,120
5685,18.86845,17.70651,17.00115,16.63491,16.4157,1458,301,2,418
5686,18.92835,16.98261,15.89919,15.45679,15.11191,2711,301,5,185
5687,18.00811,16.79153,16.33331,16.06947,15.94384,2207,301,5,122
5688,19.5123,17.58159,16.65657,16.21218,15.85388,6162,301,3,134
5689,19.56444,17.8179,16.85236,16.39042,16.00548,3918,301,6,211
5690,16.28847,14.85714,14.76093,14.77486,14.7903,6574,301,1,30
5691,19.06341,18.25545,17.42779,16.93472,16.6921,5194,301,4,805
5692,17.49961,16.08393,15.41223,15.12751,14.98703,6485,301,3,43
5693,18.56162,16.96089,16.5825,16.41236,16.26678,4134,301,1,306
5694,18.85288,16.86278,15.76116,15.26776,14.85388,3905,301,5,68
5695,17.10677,16.76616,17.12268,17.3971,17.61905,3894,301,6,29
5696,16.88562,16.07194,15.80689,15.69843,15.6883,4670,301,3,62
5697,18.2241,16.92711,16.34241,15.9787,15.77161,1359,301,2,40
5698,18.30958,16.86224,16.23927,15.95937,15.8266,6004,301,1,245
